State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households,Young_and_Adult,Middle_Aged,Senior_Citizen
Jammu and Kashmir,Kupwara,870354.0,474190.0,396164.0,439654.0,282823.0,156831.0,,600759.0,178435.0,89679.0
Jammu and Kashmir,Badgam,,,355704.0,335649.0,207741.0,127908.0,187839.0,503223.0,160933.0,88978.0
Laddakh,Leh(Ladakh),133487.0,78971.0,54516.0,93770.0,62834.0,30936.0,54394.0,70703.0,41515.0,302007.5894909688
Laddakh,Kargil,,,63017.0,86236.0,56301.0,29935.0,48144.0,87532.0,35561.0,17488.0
Jammu and Kashmir,Punch,476835.0,251899.0,224936.0,261724.0,163333.0,98391.0,147408.0,304979.0,109818.0,61334.0
Jammu and Kashmir,Rajouri,642415.0,345351.0,297064.0,364109.0,224469.0,139640.0,213578.0,404903.0,153165.0,83319.0
Jammu and Kashmir,Kathua,616435.0,326109.0,290326.0,389204.0,228499.0,160705.0,214847.0,357864.0,160123.0,97684.0
Jammu and Kashmir,Baramula,1008039.0,534733.0,473306.0,545149.0,337170.0,207979.0,259475.0,636524.0,239659.0,130513.0
Jammu and Kashmir,Bandipore,392232.0,207680.0,184552.0,185979.0,117058.0,68921.0,98076.0,252378.0,481801.44590163935,48802.0
Jammu and Kashmir,Srinagar,1236829.0,651124.0,585705.0,748584.0,431746.0,316838.0,262239.0,693238.0,351561.0,190330.0
Jammu and Kashmir,Ganderbal,297446.0,158720.0,138726.0,,,52695.0,77346.0,194165.0,66945.0,35911.0
Jammu and Kashmir,Pulwama,560440.0,293064.0,267376.0,293958.0,178326.0,115632.0,169223.0,342601.0,481801.44590163935,302007.5894909688
Jammu and Kashmir,Shupiyan,266215.0,136480.0,129735.0,136500.0,80355.0,56145.0,80888.0,170086.0,60752.0,35158.0
Jammu and Kashmir,Anantnag,1078692.0,559767.0,518925.0,545532.0,324417.0,221115.0,277733.0,704145.0,239988.0,133519.0
Jammu and Kashmir,Kulgam,,,206863.0,209085.0,125052.0,84033.0,121130.0,266858.0,99870.0,57253.0
Jammu and Kashmir,Doda,409936.0,213641.0,196295.0,219083.0,138620.0,80463.0,133617.0,263576.0,93189.0,52744.0
Jammu and Kashmir,Ramban,,,134581.0,124065.0,82938.0,41127.0,,188526.0,61604.0,302007.5894909688
Jammu and Kashmir,Kishtwar,,120165.0,,107506.0,68700.0,38806.0,78371.0,1100440.328407225,53415.0,31084.0
Jammu and Kashmir,Udhampur,554985.0,296784.0,258201.0,322354.0,197543.0,124811.0,183360.0,339145.0,140785.0,74757.0
Jammu and Kashmir,Reasi,314667.0,166461.0,148206.0,150542.0,93937.0,56605.0,107833.0,1100440.328407225,70767.0,39743.0
Jammu and Kashmir,Jammu,1529958.0,813821.0,716137.0,1137135.0,641916.0,495219.0,502609.0,816827.0,435895.0,275585.0
Jammu and Kashmir,Samba,318898.0,169124.0,149774.0,228139.0,130312.0,97827.0,114236.0,177277.0,88246.0,53022.0
Himachal Pradesh,Chamba,519080.0,261320.0,257760.0,323842.0,186064.0,137778.0,200231.0,306555.0,130606.0,81566.0
Himachal Pradesh,Kangra,1510075.0,750591.0,759484.0,1152640.0,606443.0,546197.0,627328.0,766581.0,419172.0,319420.0
Himachal Pradesh,Lahul AND Spiti,31564.0,16588.0,14976.0,21845.0,12897.0,8948.0,17434.0,15928.0,481801.44590163935,6200.0
Himachal Pradesh,Kullu,437903.0,225452.0,212451.0,307672.0,174550.0,133122.0,188704.0,244727.0,120510.0,72282.0
Himachal Pradesh,Mandi,999777.0,498065.0,501712.0,723747.0,393669.0,330078.0,462825.0,524285.0,279321.0,194661.0
Himachal Pradesh,Hamirpur,454768.0,217070.0,237698.0,358091.0,180555.0,177536.0,211348.0,224044.0,123941.0,106641.0
Himachal Pradesh,Una,521173.0,263692.0,257481.0,399715.0,213281.0,186434.0,205217.0,273223.0,142351.0,105358.0
Himachal Pradesh,Bilaspur,381956.0,192764.0,189192.0,287620.0,155599.0,132021.0,164445.0,193671.0,107367.0,80497.0
Himachal Pradesh,Solan,580320.0,308754.0,271566.0,,244372.0,,,321533.0,481801.44590163935,90808.0
Himachal Pradesh,Sirmaur,529855.0,276289.0,253566.0,362645.0,205617.0,157028.0,192156.0,1100440.328407225,481801.44590163935,82471.0
Himachal Pradesh,Shimla,814010.0,425039.0,388971.0,612642.0,342846.0,269796.0,375165.0,425721.0,241956.0,145577.0
Himachal Pradesh,Kinnaur,84121.0,46249.0,37872.0,60699.0,36697.0,24002.0,44514.0,42360.0,26599.0,15075.0
Punjab,Gurdaspur,,,1085706.0,1634719.0,907660.0,727059.0,606348.0,1261421.0,611353.0,423301.0
Punjab,Kapurthala,815168.0,426311.0,388857.0,576567.0,316254.0,260313.0,261203.0,433331.0,222324.0,157833.0
Punjab,Jalandhar,2193590.0,1145211.0,1048379.0,1622537.0,882581.0,739956.0,708130.0,1159156.0,616431.0,416449.0
Punjab,Hoshiarpur,1586625.0,809057.0,777568.0,1199699.0,637927.0,561772.0,551265.0,831741.0,422782.0,302007.5894909688
Punjab,Shahid Bhagat Singh Nagar,,313291.0,,438459.0,239155.0,199304.0,231551.0,318597.0,163305.0,128310.0
Punjab,Fatehgarh Sahib,600163.0,320795.0,279368.0,426033.0,238696.0,187337.0,174896.0,321018.0,166781.0,111028.0
Punjab,Ludhiana,3498739.0,1867816.0,1630923.0,2560225.0,1428348.0,1131877.0,1036821.0,1901528.0,980046.0,614258.0
Punjab,Moga,995746.0,525920.0,469826.0,,,279340.0,288439.0,535408.0,258826.0,302007.5894909688
Punjab,Firozpur,2029074.0,1071637.0,957437.0,,,520441.0,502390.0,1171770.0,525459.0,331259.0
Punjab,Muktsar,901896.0,475622.0,426274.0,,,224447.0,224157.0,495167.0,242628.0,162297.0
Punjab,Faridkot,617508.0,326671.0,290837.0,381285.0,215767.0,165518.0,158863.0,336540.0,164962.0,113721.0
Punjab,Bathinda,1388525.0,743197.0,645328.0,844868.0,488261.0,356607.0,355722.0,754927.0,481801.44590163935,255283.0
Punjab,Mansa,769751.0,408732.0,361019.0,423560.0,244037.0,179523.0,196389.0,420050.0,200882.0,146103.0
Punjab,Patiala,1895686.0,1002522.0,893164.0,1266791.0,711052.0,555739.0,517369.0,1042519.0,517079.0,335100.0
Punjab,Amritsar,2490656.0,1318408.0,1172248.0,1684770.0,932981.0,751789.0,660953.0,1100440.328407225,667193.0,436496.0
Punjab,Tarn Taran,1119627.0,589369.0,530258.0,666162.0,376427.0,289735.0,267174.0,641875.0,283645.0,190898.0
Punjab,Rupnagar,684627.0,357485.0,327142.0,502731.0,278534.0,224197.0,208699.0,365300.0,481801.44590163935,131707.0
Punjab,Sahibzada Ajit Singh Nagar,994628.0,529253.0,465375.0,736575.0,409944.0,326631.0,291335.0,540872.0,281462.0,171656.0
Punjab,Sangrur,1655169.0,878029.0,777140.0,1002077.0,570413.0,431664.0,448944.0,904316.0,435148.0,302007.5894909688
Punjab,Barnala,595527.0,317522.0,278005.0,359831.0,201999.0,157832.0,156799.0,322607.0,158413.0,114077.0
Chandigarh,Chandigarh,1055450.0,580663.0,474787.0,805438.0,465346.0,340092.0,298367.0,602411.0,303748.0,148945.0
Uttarakhand,Uttarkashi,330086.0,168597.0,161489.0,215126.0,128237.0,86889.0,121209.0,202426.0,75997.0,51245.0
Uttarakhand,Chamoli,391605.0,193991.0,197614.0,280556.0,155395.0,125161.0,186340.0,229715.0,93182.0,67873.0
Uttarakhand,Rudraprayag,242285.0,114589.0,127696.0,,,79130.0,117159.0,141848.0,54979.0,44986.0
Uttarakhand,Tehri Garhwal,618931.0,297986.0,320945.0,407994.0,227406.0,180588.0,254236.0,368324.0,139371.0,109998.0
Uttarakhand,Dehradun,1696694.0,892199.0,804495.0,,,557290.0,497638.0,968517.0,446046.0,276280.0
Uttarakhand,Garhwal,687271.0,326829.0,360442.0,494889.0,262148.0,232741.0,316462.0,380765.0,160183.0,145445.0
Uttarakhand,Pithoragarh,483439.0,239306.0,244133.0,345550.0,189623.0,155927.0,209943.0,273494.0,116749.0,92517.0
