District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Adilabad,100.0,35.7,6.5,13.8,100.0,23.5,2.8,70.7
Agra,100.0,52.9,4.3,16.6,100.0,38.2,1.9,82.0
Ahmadabad,100.0,40.5,2.0,32.9,100.0,23.9,0.6,92.1
Ahmadnagar,100.0,30.6,7.4,39.1,100.0,23.1,2.5,73.6
Aizawl,100.0,34.6,1.7,97.4,100.0,16.6,0.7,99.3
Ajmer,100.0,49.9,3.4,14.1,100.0,27.9,1.1,86.2
Akola,100.0,47.5,7.1,30.9,100.0,33.8,3.7,72.3
Alappuzha,100.0,29.9,7.7,90.9,100.0,26.7,6.5,94.7
Aligarh,100.0,56.7,4.3,21.4,100.0,42.4,2.7,84.4
Alirajpur,100.0,62.1,4.0,5.0,100.0,29.8,2.6,75.3
Allahabad,100.0,48.8,4.6,15.6,100.0,30.5,2.9,84.0
Almora,100.0,24.1,1.7,51.6,100.0,14.5,1.3,91.9
Alwar,100.0,39.5,3.6,14.8,100.0,28.8,1.6,79.3
Ambala,100.0,44.2,4.3,51.1,100.0,28.4,3.3,89.3
Ambedkar Nagar,100.0,46.4,9.9,13.9,100.0,42.0,9.8,54.4
Amravati,100.0,44.6,6.6,41.1,100.0,31.3,2.9,78.6
Amreli,100.0,28.9,1.7,52.1,100.0,24.7,1.0,78.4
Amritsar,100.0,55.2,7.8,60.8,100.0,42.5,5.4,93.4
Anand,100.0,41.3,2.1,41.3,100.0,26.1,1.3,83.0
Anantapur,100.0,21.7,2.9,22.0,100.0,20.9,1.3,76.2
Anantnag,100.0,43.3,5.1,50.8,100.0,28.5,3.1,75.5
Anjaw,100.0,52.8,6.0,27.7,100.0,68.3,0.0,64.2
Anugul,100.0,64.4,12.0,16.7,100.0,38.8,6.6,64.0
Anuppur,100.0,36.8,1.9,4.4,100.0,25.0,2.2,56.9
Araria,100.0,64.4,3.7,6.7,100.0,48.5,6.4,54.3
Ariyalur,100.0,37.9,3.4,14.2,100.0,27.7,2.0,51.3
Arwal,100.0,61.9,7.8,22.5,100.0,51.7,6.1,39.0
Ashoknagar,100.0,44.0,2.7,7.0,100.0,37.8,1.7,56.3
Auraiya,100.0,55.2,9.0,20.4,100.0,38.6,4.0,75.2
Aurangabad,100.0,57.8,6.6,17.2,100.0,41.1,5.4,68.0
Azamgarh,100.0,48.3,9.0,16.8,100.0,37.4,4.8,64.6
